key,fare_amount
2015-01-27 13:08:24.0000002,10.586075
2015-01-27 13:08:24.0000003,10.990261
2011-10-08 11:53:44.0000002,4.6037307
2012-12-01 21:12:12.0000002,9.059851
2012-12-01 21:12:12.0000003,16.967405
2012-12-01 21:12:12.0000005,10.440676
2011-10-06 12:10:20.0000001,5.1633077
2011-10-06 12:10:20.0000003,49.158882
2011-10-06 12:10:20.0000002,11.372288
2014-02-18 15:22:20.0000002,6.755755
2014-02-18 15:22:20.0000003,10.220049
2014-02-18 15:22:20.0000001,18.4951
2010-03-29 20:20:32.0000002,4.1083465
2010-03-29 20:20:32.0000001,6.3790073
2011-10-06 03:59:12.0000002,7.2803
2011-10-06 03:59:12.0000001,10.127005
2012-07-15 16:45:04.0000006,5.0599265
2012-07-15 16:45:04.0000002,8.676091
2012-07-15 16:45:04.0000003,5.061036
2012-07-15 16:45:04.0000004,4.7088165
2014-10-29 02:09:56.0000001,6.577647
2014-06-14 13:39:00.00000010,7.920664
2014-06-14 13:39:00.00000060,7.958138
2014-06-14 13:39:00.00000087,8.477887
2014-06-14 13:39:00.00000050,17.593704
2014-06-14 13:39:00.0000003,7.3056884
2014-06-14 13:39:00.000000158,37.591938
2014-06-14 13:39:00.00000015,24.968834
2014-06-14 13:39:00.00000073,6.1394954
2014-06-14 13:39:00.00000077,16.192545
2014-06-14 13:39:00.000000145,9.090456
2014-06-14 13:39:00.00000079,6.2825394
2014-06-14 13:39:00.000000121,5.358583
2014-06-14 13:39:00.00000021,11.71055
2014-06-14 13:39:00.0000005,8.244254
2014-06-14 13:39:00.000000165,7.1302233
2014-06-14 13:39:00.000000184,6.137331
2014-06-14 13:39:00.00000059,6.268442
2014-06-14 13:39:00.00000070,8.34946
2014-06-14 13:39:00.00000068,4.8184013
2014-06-14 13:39:00.000000133,18.409418
2014-06-14 13:39:00.000000128,10.351903
2014-06-14 13:39:00.000000136,18.84531
2014-06-14 13:39:00.00000017,11.678259
2014-06-14 13:39:00.000000111,5.945404
2014-06-14 13:39:00.000000115,12.055927
2014-06-14 13:39:00.000000168,5.740751
2014-06-14 13:39:00.00000031,6.5846868
2014-06-14 13:39:00.000000116,6.2271414
2014-06-14 13:39:00.00000051,4.8844547
2014-06-14 13:39:00.000000193,13.345117
2014-06-14 13:39:00.000000132,14.36672
2014-06-14 13:39:00.000000167,22.482723
2014-06-14 13:39:00.00000044,5.867457
2014-06-14 13:39:00.000000138,7.8604674
2014-06-14 13:39:00.00000066,15.879666
2014-06-14 13:39:00.00000063,10.626301
2014-06-14 13:39:00.000000154,12.31051
2014-06-14 13:39:00.00000097,14.821525
2014-06-14 13:39:00.00000067,14.044523
2014-06-14 13:39:00.000000179,7.407121
2014-06-14 13:39:00.00000092,11.392478
2014-06-14 13:39:00.00000029,6.071736
2014-06-14 13:39:00.000000177,5.8067794
2014-06-14 13:39:00.000000192,7.4341054
2014-06-14 13:39:00.000000181,6.508355
2014-06-14 13:39:00.000000120,11.570389
2014-06-14 13:39:00.0000008,5.6059785
2014-06-14 13:39:00.000000103,4.7748003
2014-06-14 13:39:00.00000049,18.357718
2014-06-14 13:39:00.000000108,7.9795623
2014-06-14 13:39:00.00000072,6.074896
2014-06-14 13:39:00.000000182,13.71986
2014-06-14 13:39:00.00000061,6.864247
2014-06-14 13:39:00.00000093,9.411061
2014-06-14 13:39:00.000000170,12.795302
2014-06-14 13:39:00.000000147,52.427475
2014-06-14 13:39:00.000000140,5.4271083
2014-06-14 13:39:00.000000159,4.744086
2014-06-14 13:39:00.00000012,5.038505
2014-06-14 13:39:00.00000025,7.1162806
2014-06-14 13:39:00.000000156,5.749251
2014-06-14 13:39:00.000000152,8.447753
2014-06-14 13:39:00.000000129,10.68614
2014-06-14 13:39:00.000000119,19.364
2014-06-14 13:39:00.000000118,5.564926
2014-06-14 13:39:00.00000076,5.1182256
2014-06-14 13:39:00.000000135,7.528367
2014-06-14 13:39:00.00000023,21.997066
2014-06-14 13:39:00.00000082,10.462869
2014-06-14 13:39:00.000000125,12.237037
2014-06-14 13:39:00.00000075,10.713712
2014-06-14 13:39:00.000000124,7.0346518
2014-06-14 13:39:00.000000172,6.985684
2014-06-14 13:39:00.00000024,15.409795
2014-06-14 13:39:00.000000169,14.526086
2014-06-14 13:39:00.00000052,12.31547
2014-06-14 13:39:00.000000161,14.111301
2014-06-14 13:39:00.00000038,8.893176
2014-06-14 13:39:00.00000035,11.282214
2014-06-14 13:39:00.00000053,13.2989435
2014-06-14 13:39:00.000000183,6.5430784
2014-06-14 13:39:00.000000131,56.727882
2014-06-14 13:39:00.000000180,8.290911
2014-06-14 13:39:00.000000130,9.053857
2014-06-14 13:39:00.00000032,4.5089636
2014-06-14 13:39:00.000000148,11.888144
2014-06-14 13:39:00.0000007,10.449675
2014-06-14 13:39:00.00000095,11.811128
2014-06-14 13:39:00.000000144,37.83133
2014-06-14 13:39:00.000000141,33.949966
2014-06-14 13:39:00.000000162,21.011414
2014-06-14 13:39:00.00000018,13.374732
2014-06-14 13:39:00.00000054,9.700353
2014-06-14 13:39:00.00000040,6.7684956
2014-06-14 13:39:00.00000096,6.396582
2014-06-14 13:39:00.00000055,27.496458
2014-06-14 13:39:00.000000109,8.926713
2014-06-14 13:39:00.000000151,7.500314
2014-06-14 13:39:00.00000016,10.912072
2014-06-14 13:39:00.00000062,11.0166025
2014-06-14 13:39:00.000000191,9.040286
2014-06-14 13:39:00.00000034,8.701337
2014-06-14 13:39:00.000000160,7.2193294
2014-06-14 13:39:00.00000013,6.3619766
2014-06-14 13:39:00.000000188,5.572503
2014-06-14 13:39:00.00000086,9.280539
2014-06-14 13:39:00.000000185,12.069246
2014-06-14 13:39:00.00000074,9.209272
2014-06-14 13:39:00.00000022,19.582066
2014-06-14 13:39:00.00000036,5.003333
2014-06-14 13:39:00.000000126,4.1271133
2014-06-14 13:39:00.000000190,6.086335
2014-06-14 13:39:00.00000042,6.5705223
2014-06-14 13:39:00.000000178,7.5376277
2014-06-14 13:39:00.000000163,5.268171
2014-06-14 13:39:00.00000020,13.574781
2014-06-14 13:39:00.00000098,6.6967025
2014-06-14 13:39:00.000000114,22.031843
2014-06-14 13:39:00.00000045,9.672548
2014-06-14 13:39:00.00000094,4.851519
2014-06-14 13:39:00.000000146,11.356271
2014-06-14 13:39:00.00000033,8.94682
2014-06-14 13:39:00.000000143,5.594797
2014-06-14 13:39:00.000000107,7.189615
2014-06-14 13:39:00.00000048,9.332038
2014-06-14 13:39:00.00000043,12.893427
2014-06-14 13:39:00.000000123,9.913943
